Bulan;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Januari;1,36;1,04;1,77;-0,07;0,84;0,89;0,76;1,03;1,07;-0,24;0,51;0,97;0,62;0,32;0,39;0,26;0,56;0,34
Februari;1,95;1,67;2,44;0,14;1,14;1,03;0,81;1,79;1,33;-0,61;0,42;1,21;0,79;0,24;0,66;0,36;0,54;0,5
Maret;1,98;1,91;3,41;0,36;0,99;0,7;0,88;2,43;1,41;-0,44;0,62;1,19;0,99;0,35;0,76;0,44;1,2;0,68
April;2,03;1,74;4,01;0,05;1,15;0,39;1,09;2,32;1,39;-0,08;0,16;1,28;1,09;0,8;0,84;0,58;2,15;1,01
Mei;2,41;1,84;5,47;0,1;1,44;0,51;1,15;2,3;1,56;0,42;0,4;1,67;1,3;1,48;0,9;0,9;2,56;1,1
Juni;2,87;2,08;7,37;0,21;2,42;1,06;1,79;3,35;1,99;0,96;1,06;2,38;1,9;2,05;1,09;0,74;3,19;1,24
Juli;3,33;2,81;8,85;0,66;4,02;1,74;2,5;6,75;2,94;1,9;1,76;2,6;2,18;2,36;0,98;0,81;3,85;1,45
Agustus;3,67;3,58;9,4;1,22;4,82;2,69;3,48;7,94;3,42;2,29;1,74;2,53;2,13;2,48;0,93;0,84;3,63;1,43
September;4,06;4,41;10,47;2,28;5,28;2,97;3,49;7,57;3,71;2,24;1,97;2,66;1,94;2,2;0,89;0,8;4,84;1,63
Oktober;4,96;5,24;10,96;2,48;5,35;2,85;3,66;7,66;4,19;2,16;2,11;2,67;2,22;2,22;0,95;0,93;4,73;1,8
November;5,32;5,43;11,1;2,45;5,98;3,2;3,73;7,79;5,75;2,37;2,59;2,87;2,5;2,37;1,23;1,3;4,82;0
Desember;6,6;6,59;11,06;2,78;6,96;3,79;4,3;8,38;8,36;3,35;3,02;3,61;3,13;2,72;1,68;1,87;5,51;0
